bhk,area,locality,price,status1,status2
1,650,"Nehru Nagar, Pimpri Chinchwad",13000,Unfurnished,1 floor
1,550,"Keshav Nagar, Mundhwa",13000,Unfurnished,3 floor 2 BHK
2,575,,4000,Semi-Furnished,3 floor
1,550,Lohegaon,8000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,900,"Sun City, Anand Nagar",24000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
1,800,,16500," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,700,Kothrud,16000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,465,Talegaon Dabhade,8000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,772,"Model Colony, Shivaji Nagar",21000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1430,,22700,Unfurnished,3 floor
3,1800,"Wakad, Pimpri Chinchwad",5000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,800,Wadgaon Sheri,13000,Unfurnished,4 floor
2,1100,Wagholi,14500," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,750,Hadapsar,12000,Unfurnished,Ground floor
2,910,"Thergaon, Pimpri Chinchwad",15700," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1059,Hinjewadi,20000,Furnished,4 floor
1,550,Sunita Nagar,10500,Furnished,4 floor 3 BHK
1,600,,5000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,798,Shirgaon,8000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,300,Talegaon Dhamdhere,4500,Furnished,5 floor
2,950,Hinjewadi,28000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,500,Kothrud,17000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,750,Hadapsar,13060," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,444,Hinjewadi Phase 3,14000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,900,Talegaon Dabhade,10000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1025,Hinjewadi,26000,Unfurnished,Ground floor 2 BHK
2,650,"Bijlinagar, Pimpri Chinchwad",11000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
1,650,Undri,9000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
1,500,,5000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,850,"Ravet, Pimpri Chinchwad",16500," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
1,500,Solapur Road,8000,Unfurnished,1 floor
2,1050,Warje,14000,Unfurnished,3 floor 2 BHK
2,980,Sinhagad Road,22500,Semi-Furnished,3 floor
1,666,"Ravet, Pimpri Chinchwad",12000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,1100,,18000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,1375,Kharadi,33000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,930,Ambedkar Nagar-Kondhwa,22000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1176,Sus,15000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1020,Dhanori,19000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,600,Hadapsar,18000,Unfurnished,3 floor
3,1650,Baner road,45000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,600,,13000,Unfurnished,4 floor
2,850,Hadapsar,19000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,800,,10000,Unfurnished,Ground floor
2,832,Undri,11000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1350,Koregaon Park,50000,Furnished,4 floor
2,790,Ambe Gaon,15000,Furnished,4 floor 3 BHK
3,1300,Ambegaon Budruk,16000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1100,"Panmala, Pimpri Chinchwad",25000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,719,Hinjewadi,12500,Furnished,5 floor
3,1200,,25000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
3,1550,Viman Nagar,47500," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,909,"Rahatni, Pimpri Chinchwad",15000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,800,"Datta Nagar, Kothrud",12500,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
3,1365,Ambegaon Budruk,15000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,846,Hinjewadi Phase 1,21000,Unfurnished,Ground floor 2 BHK
2,705,,16000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
1,634,Dhanori,10000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
4,1750,"Wakad, Pimpri Chinchwad",75000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
3,1555,Mangaldas Road,45000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,917,,12000,Unfurnished,1 floor
1,678,Hinjewadi Phase 1,16000,Unfurnished,3 floor 2 BHK
2,975,"Kaspate Vasti, Pimpri Chinchwad",22000,Semi-Furnished,3 floor
1,500,Vadgaon,12000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
3,1850,"Keshav Nagar, Mundhwa",35000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,750,,15000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,950,Hinjewadi,22000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,1250,Lohegaon,6500," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,630,Hinjewadi Phase 1,13000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1030,"Sangam Bridge, Sangamvadi",15000,Unfurnished,3 floor
4,2097,"Pimple Nilakh, Pimpri Chinchwad",1.1 Lac," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
4,2000,Baner,35117,Unfurnished,4 floor
1,600,"Vishrantwadi, Airport Road",18000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,700,"Gananjay Society, Kothrud",20000,Unfurnished,Ground floor
2,900,Phursungi,17500," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,600,,14000,Furnished,4 floor
2,1100,,25000,Furnished,4 floor 3 BHK
2,643,"Ravet, Pimpri Chinchwad",13000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,953,"Nigdi, Pimpri Chinchwad",16000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,705,Kothrud,14000,Furnished,5 floor
3,Multistorey,Bund Garden Road,60000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,920,Ambe Gaon,16000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
4,3750,"EON Free Zone, Kharadi",65000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,600,Pashan-Sus Road,12800,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,1250,"Tathawade, Dattwadi",12500," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,970,Wagholi,12500,Unfurnished,Ground floor 2 BHK
1,600,"Pimple Gurav, Pimpri Chinchwad",14000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
1,993,Dighi,10000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,917,Hinjewadi,23500," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,2500,Shukrawar Peth,15000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
4,900,Hadapsar,25000,Unfurnished,1 floor
3,160,Kothrud,24000,Unfurnished,3 floor 2 BHK
1,975,"Rahatni, Pimpri Chinchwad",10000,Semi-Furnished,3 floor
2,670,Viman Nagar,44000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
1,1437,,12500,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,750,"Vishal Nagar, Pimpri Chinchwad",16000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
4,2900,"Pimple Nilakh, Pimpri Chinchwad",60000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,650,Kharadi,28000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,850,Koregaon Park,45000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1950,Kharadi,25000,Unfurnished,3 floor
1,1500,Hadapsar,18000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,500,Pirangut,8000,Unfurnished,4 floor
2,2350,"Vishal Nagar, Pimpri Chinchwad",21000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,576,Pirangut,10000,Unfurnished,Ground floor
3,1200,"Pimpri, Pimpri Chinchwad",24000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,677,Kalyani Nagar,5500,Furnished,4 floor
1,750,"Thergaon, Pimpri Chinchwad",5000,Furnished,4 floor 3 BHK
2,890,Hinjewadi Phase 3,23000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,570,Erandwane,26000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
3,800,Vadgaon Maval,20000,Furnished,5 floor
2,250,Moshi,13000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
5,4200,Magarpatta City,65000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
,1850,Baner,3.8 Lac," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,690,"Vishrantwadi, Airport Road",12000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,1050,Koregaon Park,33000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,1008,Wadgaon Sheri,13000,Unfurnished,Ground floor 2 BHK
3,540,Karvenagar,39500,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
3,850,"Marunji, Hinjawadi",10000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
4,1200,"Gondhale Nagar, Hadapsar",28000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,Villa,"Nigdi, Pimpri Chinchwad",9000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
3,575,,38000,Unfurnished,1 floor
1,2000,Dighi,8000,Unfurnished,3 floor 2 BHK
4,600,Magarpatta City,58000,Semi-Furnished,3 floor
1,983,"Pimple Nilakh, Pimpri Chinchwad",11000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,2863,Bavdhan,30000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,1000,,12000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,635,"Chinchwad, Pimpri Chinchwad",10000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1020,,12000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,950,Sinhagad Road,13500," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,2562,Narayan Peth,16500,Unfurnished,3 floor
1,1350,"Kolhewadi, Khadakwasla",3700," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
4,1130,Karvenagar,95000,Unfurnished,4 floor
3,2881,Kondhwa,40000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,1047,"Munjaba Vasti, Dhanori",16500,Unfurnished,Ground floor
